"filename", "language", "JSON", "XML", "Markdown", "C#", "JavaScript", "CSS", "Properties", "ASP.NET Razor", "comment", "blank", "total"
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\obj\NordicNest.csproj.nuget.g.props", "XML", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 15
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\obj\NordicNest.csproj.nuget.g.targets", "XML", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\obj\project.assets.json", "JSON", 588, 0, 0, 0, 0, 0, 0, 0, 0, 0, 588
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\package-lock.json", "JSON", 1893, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1894
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\package.json", "JSON", 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\tailwind.config.js", "JavaScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 14
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\wwwroot\css\ScrollBar.css", "CSS", 0, 0, 0, 0, 0, 17, 0, 0, 8, 5, 30
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\wwwroot\css\site.css", "CSS", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\wwwroot\css\styles.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\wwwroot\js\Auth.js", "JavaScript", 0, 0, 0, 0, 21, 0, 0, 0, 5, 6, 32
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\wwwroot\js\ConfirmPassword.js", "JavaScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\wwwroot\js\Contact_Form.js", "JavaScript", 0, 0, 0, 0, 32, 0, 0, 0, 1, 9, 42
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\wwwroot\js\GoBack.js", "JavaScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\wwwroot\js\Monthlychart.js", "JavaScript", 0, 0, 0, 0, 59, 0, 0, 0, 1, 3, 63
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\wwwroot\js\Navbar.js", "JavaScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\wwwroot\js\charCount.js", "JavaScript", 0, 0, 0, 0, 10, 0, 0, 0, 4, 3, 17
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\wwwroot\js\site.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 5
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\wwwroot\lib\bootstrap\dist\css\bootstrap-grid.css", "CSS", 0, 0, 0, 0, 0, 3855, 0, 0, 7, 1135, 4997
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\wwwroot\lib\bootstrap\dist\css\bootstrap-grid.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 6, 0, 7
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\wwwroot\lib\bootstrap\dist\css\bootstrap-grid.rtl.css", "CSS", 0, 0, 0, 0, 0, 3855, 0, 0, 7, 1134, 4996
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\wwwroot\lib\bootstrap\dist\css\bootstrap-grid.rtl.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 6, 0, 7
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\wwwroot\lib\bootstrap\dist\css\bootstrap-reboot.css", "CSS", 0, 0, 0, 0, 0, 347, 0, 0, 16, 64, 427
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\wwwroot\lib\bootstrap\dist\css\bootstrap-reboot.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 7, 0, 8
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\wwwroot\lib\bootstrap\dist\css\bootstrap-reboot.rtl.css", "CSS", 0, 0, 0, 0, 0, 353, 0, 0, 8, 63, 424
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\wwwroot\lib\bootstrap\dist\css\bootstrap-reboot.rtl.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 7, 0, 8
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\wwwroot\lib\bootstrap\dist\css\bootstrap-utilities.css", "CSS", 0, 0, 0, 0, 0, 3729, 0, 0, 9, 1128, 4866
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\wwwroot\lib\bootstrap\dist\css\bootstrap-utilities.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 6, 0, 7
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\wwwroot\lib\bootstrap\dist\css\bootstrap-utilities.rtl.css", "CSS", 0, 0, 0, 0, 0, 3725, 0, 0, 7, 1125, 4857
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\wwwroot\lib\bootstrap\dist\css\bootstrap-utilities.rtl.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 6, 0, 7
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\wwwroot\lib\bootstrap\dist\css\bootstrap.css", "CSS", 0, 0, 0, 0, 0, 9453, 0, 0, 27, 1741, 11221
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\wwwroot\lib\bootstrap\dist\css\bootstrap.min.css", "CSS", 0, 0, 0, 0, 0, 2, 0, 0, 5, 0, 7
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\wwwroot\lib\bootstrap\dist\css\bootstrap.rtl.css", "CSS", 0, 0, 0, 0, 0, 9455, 0, 0, 7, 1735, 11197
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\wwwroot\lib\bootstrap\dist\css\bootstrap.rtl.min.css", "CSS", 0, 0, 0, 0, 0, 2, 0, 0, 5, 0, 7
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\wwwroot\lib\bootstrap\dist\js\bootstrap.bundle.js", "JavaScript", 0, 0, 0, 0, 4846, 0, 0, 0, 584, 1351, 6781
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\wwwroot\lib\bootstrap\dist\js\bootstrap.bundle.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 6, 0, 7
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\wwwroot\lib\bootstrap\dist\js\bootstrap.esm.js", "JavaScript", 0, 0, 0, 0, 3418, 0, 0, 0, 495, 1065, 4978
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\wwwroot\lib\bootstrap\dist\js\bootstrap.esm.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 6, 0, 7
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\wwwroot\lib\bootstrap\dist\js\bootstrap.js", "JavaScript", 0, 0, 0, 0, 3457, 0, 0, 0, 501, 1069, 5027
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\wwwroot\lib\bootstrap\dist\js\bootstrap.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 6, 0, 7
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\wwwroot\lib\jquery-validation-unobtrusive\jquery.validate.unobtrusive.js", "JavaScript", 0, 0, 0, 0, 306, 0, 0, 0, 76, 54, 436
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\wwwroot\lib\jquery-validation-unobtrusive\jquery.validate.unobtrusive.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 7, 0, 8
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\wwwroot\lib\jquery-validation\LICENSE.md", "Markdown", 0, 0, 18, 0, 0, 0, 0, 0, 0, 5, 23
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\wwwroot\lib\jquery-validation\dist\additional-methods.js", "JavaScript", 0, 0, 0, 0, 867, 0, 0, 0, 443, 202, 1512
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\wwwroot\lib\jquery-validation\dist\additional-methods.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 4
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\wwwroot\lib\jquery-validation\dist\jquery.validate.js", "JavaScript", 0, 0, 0, 0, 1228, 0, 0, 0, 189, 244, 1661
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\wwwroot\lib\jquery-validation\dist\jquery.validate.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 4
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\wwwroot\lib\jquery\dist\jquery.js", "JavaScript", 0, 0, 0, 0, 6895, 0, 0, 0, 1911, 2076, 10882
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\wwwroot\lib\jquery\dist\jquery.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"Total", "-", 6748, 1366, 18, 879, 21183, 34955, 70, 1623, 4573, 14756, 86171
